ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Species	Response
GO:0000911	cytokinesis by cell plate formation	10/2784	42/51223	6.55191704083194e-05	0.00498541323925122	0.00439511372786908	BnaA02g08850D/BnaA03g11190D/BnaA06g38700D/BnaA10g09960D/BnaAnng34330D/BnaC02g42100D/BnaC03g14010D/BnaC08g20540D/BnaC09g32420D/BnaC09g43820D	10	B. napus	up-regulated
GO:0046686	response to cadmium ion	22/2784	178/51223	0.000284479814597973	0.0198424670682086	0.0174930131608052	BnaA01g27710D/BnaA03g00990D/BnaA03g34250D/BnaA03g39590D/BnaA06g16270D/BnaA06g33370D/BnaA07g09950D/BnaA09g33250D/BnaAnng30450D/BnaC01g18340D/BnaC01g35230D/BnaC03g39720D/BnaC05g05770D/BnaC05g18830D/BnaC05g31580D/BnaC06g31510D/BnaC06g36030D/BnaC08g24060D/BnaC09g21590D/BnaC09g25430D/BnaC09g29010D/BnaC09g34740D	22	B. napus	up-regulated
GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	7/2784	26/51223	0.000365891494251277	0.0223673434982125	0.0197189307580292	BnaA02g20220D/BnaA08g19200D/BnaA10g28790D/BnaC04g17640D/BnaC07g48960D/BnaCnng04840D/BnaCnng23950D	7	B. napus	up-regulated
GO:0016192	vesicle-mediated transport	43/2784	457/51223	0.000374125219802837	0.0223673434982125	0.0197189307580292	BnaA02g05590D/BnaA02g14320D/BnaA02g36830D/BnaA03g03370D/BnaA03g15280D/BnaA03g33990D/BnaA03g46120D/BnaA03g48090D/BnaA04g05890D/BnaA04g09380D/BnaA06g05280D/BnaA06g40410D/BnaA07g09950D/BnaA08g05810D/BnaA08g14700D/BnaA09g02560D/BnaA09g18080D/BnaA09g28610D/BnaC02g32860D/BnaC03g31090D/BnaC04g26360D/BnaC05g06710D/BnaC05g18830D/BnaC05g19050D/BnaC05g20580D/BnaC06g04900D/BnaC06g15130D/BnaC06g31510D/BnaC07g12940D/BnaC07g19560D/BnaC07g31900D/BnaC07g34680D/BnaC07g39000D/BnaC07g46130D/BnaC08g00950D/BnaC08g25130D/BnaC08g33790D/BnaC08g49960D/BnaC09g02020D/BnaC09g23820D/BnaC09g23990D/BnaCnng03550D/BnaCnng71270D	43	B. napus	up-regulated
GO:0019310	inositol catabolic process	5/2784	13/51223	0.000420873763105767	0.0223834597612567	0.0197331387695919	BnaA03g47910D/BnaA07g00980D/BnaA09g10050D/BnaC07g01430D/BnaC09g10140D	5	B. napus	up-regulated
GO:0006338	chromatin remodeling	9/2784	43/51223	0.000427879756487584	0.0223834597612567	0.0197331387695919	BnaA03g29550D/BnaA04g26950D/BnaA09g08300D/BnaC01g27320D/BnaC02g30280D/BnaC03g26010D/BnaC04g51430D/BnaC08g12230D/BnaC09g08550D	9	B. napus	up-regulated
GO:0006301	postreplication repair	6/2784	20/51223	0.000512786852496014	0.0252472115023037	0.0222578070340375	BnaA05g13430D/BnaA08g20580D/BnaA09g32990D/BnaC06g11310D/BnaC08g23790D/BnaC09g21690D	6	B. napus	up-regulated
GO:0006397	mRNA processing	20/2784	168/51223	0.000847190169479316	0.0340978191900665	0.0300604555772327	BnaA01g23100D/BnaA05g12710D/BnaA05g25370D/BnaA07g22500D/BnaA07g28540D/BnaA08g15370D/BnaA08g19200D/BnaC01g28840D/BnaC02g38790D/BnaC03g09440D/BnaC03g61880D/BnaC04g54780D/BnaC05g02260D/BnaC05g52050D/BnaC06g34560D/BnaC08g36850D/BnaC09g47700D/BnaCnng04840D/BnaCnng52160D/BnaCnng70060D	20	B. napus	up-regulated
GO:0000380	alternative mRNA splicing, via spliceosome	5/2784	15/51223	0.000896238975127195	0.0340978191900665	0.0300604555772327	BnaA04g23140D/BnaA06g16890D/BnaC04g06220D/BnaC04g46250D/BnaCnng12080D	5	B. napus	up-regulated
GO:0001558	regulation of cell growth	5/2784	15/51223	0.000896238975127195	0.0340978191900665	0.0300604555772327	BnaA03g34250D/BnaC01g35230D/BnaC03g24870D/BnaC03g39720D/BnaCnng26290D	5	B. napus	up-regulated
GO:0042732	D-xylose metabolic process	5/2784	15/51223	0.000896238975127195	0.0340978191900665	0.0300604555772327	BnaA02g07140D/BnaA03g09560D/BnaC02g10080D/BnaC03g12060D/BnaC06g18610D	5	B. napus	up-regulated
GO:0070534	protein K63-linked ubiquitination	5/2784	15/51223	0.000896238975127195	0.0340978191900665	0.0300604555772327	BnaA05g13430D/BnaA08g20580D/BnaA09g32990D/BnaC06g11310D/BnaC08g23790D	5	B. napus	up-regulated
GO:0009620	response to fungus	12/2784	79/51223	0.00111694773530403	0.0400954916238184	0.0353479716132764	BnaA04g29500D/BnaA05g14540D/BnaA05g30970D/BnaA07g02000D/BnaA08g01170D/BnaC03g69560D/BnaC04g43280D/BnaC05g45450D/BnaC06g00180D/BnaC06g09960D/BnaC07g01100D/BnaC09g39120D	12	B. napus	up-regulated
GO:0009735	response to cytokinin	18/2784	148/51223	0.0011732109619048	0.0400954916238184	0.0353479716132764	BnaA01g27710D/BnaA03g34250D/BnaA03g39590D/BnaA06g11350D/BnaA06g16270D/BnaA08g23460D/BnaC01g33900D/BnaC01g35230D/BnaC02g35120D/BnaC02g48920D/BnaC03g39720D/BnaC04g26530D/BnaC06g01880D/BnaC06g39250D/BnaC07g22520D/BnaC07g24820D/BnaC07g45330D/BnaCnng21840D	18	B. napus	up-regulated
GO:0007033	vacuole organization	10/2784	59/51223	0.00120602522938222	0.0400954916238184	0.0353479716132764	BnaA03g17550D/BnaA03g22190D/BnaA05g15980D/BnaC01g04950D/BnaC04g17190D/BnaC05g08090D/BnaC05g52190D/BnaC06g18590D/BnaC08g32470D/BnaC09g50330D	10	B. napus	up-regulated
GO:0006406	mRNA export from nucleus	5/2784	16/51223	0.00124549914243641	0.0400954916238184	0.0353479716132764	BnaA02g20220D/BnaA08g19200D/BnaC07g48960D/BnaCnng04840D/BnaCnng23950D	5	B. napus	up-regulated
GO:0016560	protein import into peroxisome matrix, docking	4/2784	10/51223	0.00140293106748883	0.0419376179817198	0.0369719803875817	BnaA09g06240D/BnaC03g35340D/BnaC05g44400D/BnaC07g19860D	4	B. napus	up-regulated
GO:0033320	UDP-D-xylose biosynthetic process	4/2784	10/51223	0.00140293106748883	0.0419376179817198	0.0369719803875817	BnaA02g07140D/BnaA03g09560D/BnaC02g10080D/BnaC03g12060D	4	B. napus	up-regulated
GO:0009793	embryo development ending in seed dormancy	36/2784	392/51223	0.00162439935950732	0.0468835263416422	0.0413322668244874	BnaA01g27710D/BnaA02g33130D/BnaA03g22930D/BnaA03g25380D/BnaA03g34250D/BnaA03g37870D/BnaA03g50320D/BnaA07g28540D/BnaA07g35650D/BnaA08g27210D/BnaA08g30970D/BnaA09g40520D/BnaA10g25630D/BnaC01g15780D/BnaC01g35230D/BnaC03g00570D/BnaC03g23560D/BnaC03g27000D/BnaC03g27960D/BnaC03g39720D/BnaC03g44930D/BnaC04g02050D/BnaC04g04750D/BnaC04g17190D/BnaC04g17210D/BnaC04g30950D/BnaC04g43280D/BnaC05g14320D/BnaC05g42870D/BnaC05g45390D/BnaC06g19160D/BnaC07g42750D/BnaC08g32960D/BnaC09g16840D/BnaC09g22950D/BnaC09g50330D	36	B. napus	up-regulated
GO:0006694	steroid biosynthetic process	7/2784	33/51223	0.00170199163464719	0.0474855666066565	0.0418630223118483	BnaA03g15520D/BnaA04g13980D/BnaA10g05250D/BnaC03g18740D/BnaC04g02920D/BnaC04g56240D/BnaC06g00160D	7	B. napus	up-regulated
GO:0010027	thylakoid membrane organization	7/738	64/53708	2.83168270915593e-05	0.0130540572892088	0.0119824889376914	Bo4g045430/Bo4g166800/Bo7g084000/Bo8g098800/BraA04g020640.3C/BraA06g038020.3C/BraA10g012110.3C	7	B. napus (syn)	up-regulated
GO:0009086	methionine biosynthetic process	5/738	37/53708	0.000146376236941377	0.0337397226149874	0.0309701301318072	Bo3g057170/Bo5g156430/Bo9g159630/BraA03g008230.3C/BraA07g024100.3C	5	B. napus (syn)	up-regulated
GO:0006000	fructose metabolic process	3/738	10/53708	0.00028852855137849	0.0398166162412578	0.0365481898138729	Bo5g007940/Bo8g114280/BraA09g063550.3C	3	B. napus (syn)	up-regulated
GO:0006221	pyrimidine nucleotide biosynthetic process	4/738	25/53708	0.000355515702459031	0.0398166162412578	0.0365481898138729	Bo5g117210/BraA05g028670.3C/BraA10g027170.3C/BraA10g027180.3C	4	B. napus (syn)	up-regulated
GO:0006003	fructose 2,6-bisphosphate metabolic process	3/738	12/53708	0.000518220601838496	0.0398166162412578	0.0365481898138729	Bo5g007940/Bo8g114280/BraA09g063550.3C	3	B. napus (syn)	up-regulated
GO:0010136	ureide catabolic process	3/738	12/53708	0.000518220601838496	0.0398166162412578	0.0365481898138729	Bo7g106960/Bo9g076560/BraA03g049110.3C	3	B. napus (syn)	up-regulated
GO:0019430	removal of superoxide radicals	5/738	51/53708	0.000673458222031148	0.0443520343366227	0.040711309061131	Bo3g035740/Bo4g013400/Bo5g009310/Bo7g097770/BraA09g062610.3C	5	B. napus (syn)	up-regulated
GO:0006886	intracellular protein transport	34/938	316/28056	2.43315884649572e-09	1.09248832207658e-06	1.0219267155282e-06	Bo00992s040/Bo1g147560/Bo2g007130/Bo2g095450/Bo2g130350/Bo3g003490/Bo3g012250/Bo3g012280/Bo3g012290/Bo3g037310/Bo3g052780/Bo3g062290/Bo3g068160/Bo4g045710/Bo4g127260/Bo4g143720/Bo5g038950/Bo5g043150/Bo5g122610/Bo5g139620/Bo7g046990/Bo7g052770/Bo7g056150/Bo7g065650/Bo7g075890/Bo7g100570/Bo8g015070/Bo8g050320/Bo8g080020/Bo8g101610/Bo9g054580/Bo9g091430/Bo9g148210/Bo9g171150	34	B. oleracea	up-regulated
GO:0016310	phosphorylation	37/938	431/28056	1.94435181607748e-07	4.36506982709393e-05	4.0831388137627e-05	Bo01820s010/Bo1g002590/Bo1g007860/Bo1g038980/Bo1g065050/Bo2g043350/Bo2g080810/Bo2g160900/Bo3g003280/Bo3g010050/Bo3g162550/Bo4g021190/Bo4g076750/Bo5g004430/Bo5g025680/Bo5g034630/Bo5g042940/Bo5g063130/Bo5g117210/Bo5g122620/Bo5g141240/Bo7g036460/Bo7g052770/Bo7g073830/Bo7g073970/Bo7g103820/Bo7g111520/Bo8g030680/Bo8g102110/Bo9g009130/Bo9g025750/Bo9g028310/Bo9g028320/Bo9g061540/Bo9g142490/Bo9g149960/Bo9g150060	37	B. oleracea	up-regulated
GO:0016192	vesicle-mediated transport	24/938	220/28056	4.13085452154447e-07	6.18251226724489e-05	5.78319633016225e-05	Bo1g151700/Bo2g130350/Bo3g003490/Bo3g012250/Bo3g012280/Bo3g052780/Bo3g068160/Bo4g045710/Bo5g038950/Bo5g043150/Bo5g145510/Bo7g056150/Bo7g075890/Bo7g100570/Bo8g004230/Bo8g050320/Bo8g080020/Bo8g108220/Bo8g115400/Bo9g054580/Bo9g091430/Bo9g092760/Bo9g171150/Bo9g177050	24	B. oleracea	up-regulated
GO:0070536	protein K63-linked deubiquitination	5/938	10/28056	9.05448262985531e-06	0.00101636567520126	0.000950720676134808	Bo4g075540/Bo5g012120/Bo7g097590/Bo7g104230/Bo9g014060	5	B. oleracea	up-regulated
GO:0048527	lateral root development	7/938	35/28056	0.00013532175896954	0.0121518939554647	0.0113670277534414	Bo00285s550/Bo1g123360/Bo3g068470/Bo4g195240/Bo7g077190/Bo8g030320/Bo8g092500	7	B. oleracea	up-regulated
GO:0015991	ATP hydrolysis coupled proton transport	9/938	62/28056	0.000207795917235207	0.015550061139768	0.0145457142064645	Bo1g002340/Bo2g094820/Bo3g040200/Bo3g045160/Bo3g169010/Bo4g039980/Bo4g145930/Bo7g091490/Bo9g091080	9	B. oleracea	up-regulated
GO:0006352	DNA-templated transcription, initiation	7/938	42/28056	0.000443080666491518	0.0284204598935274	0.0265848399894911	Bo1g011040/Bo2g118110/Bo2g133690/Bo3g185290/Bo4g120510/Bo5g023800/Bo7g065140	7	B. oleracea	up-regulated
GO:0042147	retrograde transport, endosome to Golgi	5/938	22/28056	0.000677256578849554	0.0380110254879312	0.0355559703896016	Bo3g037310/Bo3g040380/Bo4g164890/Bo5g079950/Bo8g081680	5	B. oleracea	up-regulated
GO:0007205	protein kinase C-activating G-protein coupled receptor signaling pathway	4/938	14/28056	0.000950187314786978	0.0474037893710392	0.044342074690059	Bo8g102110/Bo9g025750/Bo9g028310/Bo9g028320	4	B. oleracea	up-regulated
GO:0000103	sulfate assimilation	4/478	15/27343	0.000108032182707166	0.0262518203978414	0.0244493887179376	BraA01g022010.3C/BraA03g040590.3C/BraA03g061240.3C/BraA05g024300.3C	4	B. rapa	up-regulated
GO:0019249	lactate biosynthetic process	6/1302	12/51223	2.16067864087209e-07	5.98507983521568e-05	5.44718457356699e-05	BnaA03g33660D/BnaA05g24540D/BnaC03g38830D/BnaC04g28590D/BnaC06g06250D/BnaCnng11120D	6	B. napus	down-regulated
GO:0061727	methylglyoxal catabolic process to lactate	6/1302	12/51223	2.16067864087209e-07	5.98507983521568e-05	5.44718457356699e-05	BnaA03g33660D/BnaA05g24540D/BnaC03g38830D/BnaC04g28590D/BnaC06g06250D/BnaCnng11120D	6	B. napus	down-regulated
GO:0006099	tricarboxylic acid cycle	17/1302	183/51223	5.02737118034714e-06	0.000928387877970771	0.000844951156275887	BnaA02g28880D/BnaA04g24600D/BnaA05g14590D/BnaA08g27880D/BnaA09g55310D/BnaA10g02560D/BnaAnng18390D/BnaC02g15960D/BnaC03g14380D/BnaC03g69540D/BnaC04g35330D/BnaC06g06220D/BnaC06g16900D/BnaC08g29490D/BnaC09g07800D/BnaC09g11540D/BnaCnng16210D	17	B. napus	down-regulated
GO:0034220	ion transmembrane transport	9/1302	54/51223	8.19278993830907e-06	0.00113470140645581	0.00103272273169738	BnaA03g26780D/BnaA05g01380D/BnaC03g31050D/BnaC04g01250D/BnaC05g35840D/BnaC06g16240D/BnaCnng45430D/BnaCnng48270D/BnaCnng48280D	9	B. napus	down-regulated
GO:0015991	ATP hydrolysis coupled proton transport	13/1302	120/51223	1.23546169768908e-05	0.0013688915610395	0.00124586558566962	BnaA03g48260D/BnaA06g07880D/BnaA07g11570D/BnaA07g11590D/BnaA07g34490D/BnaA08g21880D/BnaA09g00960D/BnaC02g28880D/BnaC03g67270D/BnaC04g39820D/BnaC09g12310D/BnaCnng42810D/BnaCnng75420D	13	B. napus	down-regulated
GO:0036529	protein deglycation, glyoxal removal	5/1302	14/51223	1.74091646480484e-05	0.00137781103071697	0.00125398343855867	BnaA03g33660D/BnaA05g24540D/BnaC03g38830D/BnaC04g28590D/BnaC06g06250D	5	B. napus	down-regulated
GO:0106046	guanine deglycation, glyoxal removal	5/1302	14/51223	1.74091646480484e-05	0.00137781103071697	0.00125398343855867	BnaA03g33660D/BnaA05g24540D/BnaC03g38830D/BnaC04g28590D/BnaC06g06250D	5	B. napus	down-regulated
GO:0006032	chitin catabolic process	8/1302	61/51223	0.000152138814155005	0.0105356128802341	0.00958874894476937	BnaA04g25220D/BnaA05g03420D/BnaA05g08640D/BnaA10g03880D/BnaC03g19370D/BnaC04g49090D/BnaC05g01140D/BnaCnng01370D	8	B. napus	down-regulated
GO:0009960	endosperm development	7/1302	51/51223	0.00029420269578872	0.0174164111973849	0.015851151365281	BnaA06g00850D/BnaA08g27210D/BnaC01g16740D/BnaC02g32710D/BnaC03g69760D/BnaC06g06420D/BnaC07g19440D	7	B. napus	down-regulated
GO:0000165	MAPK cascade	9/1302	85/51223	0.000314375653382399	0.0174164111973849	0.015851151365281	BnaA05g03140D/BnaA05g14400D/BnaA06g00890D/BnaA06g34930D/BnaC06g06380D/BnaC06g23500D/BnaC07g20800D/BnaC09g24030D/BnaCnng35890D	9	B. napus	down-regulated
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	7/1302	54/51223	0.00042130784298076	0.0203002270549727	0.0184757909164582	BnaA03g50330D/BnaA05g17060D/BnaA08g02950D/BnaC03g52150D/BnaC07g42770D/BnaC08g03210D/BnaC08g03850D	7	B. napus	down-regulated
GO:0016998	cell wall macromolecule catabolic process	8/1302	71/51223	0.000439716109493994	0.0203002270549727	0.0184757909164582	BnaA04g25220D/BnaA05g03420D/BnaA05g08640D/BnaA10g03880D/BnaC03g19370D/BnaC04g49090D/BnaC05g01140D/BnaCnng01370D	8	B. napus	down-regulated
GO:0046686	response to cadmium ion	13/1302	178/51223	0.000677279942977114	0.0288625452622555	0.0262685905008937	BnaA03g00990D/BnaA03g33660D/BnaA05g36080D/BnaC02g04280D/BnaC03g24650D/BnaC03g38830D/BnaC03g49360D/BnaC04g28590D/BnaC06g31510D/BnaC07g36070D/BnaC09g11540D/BnaC09g34740D/BnaCnng22660D	13	B. napus	down-regulated
GO:0006635	fatty acid beta-oxidation	5/1302	29/51223	0.000752349415705317	0.029771541164339	0.0270958924904396	BnaA01g18160D/BnaA06g24040D/BnaA09g15760D/BnaC03g49190D/BnaC08g13270D	5	B. napus	down-regulated
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	4/1302	19/51223	0.00118686386568062	0.0386828384714738	0.0352063074821128	BnaA08g31320D/BnaA09g33140D/BnaC01g06030D/BnaC05g11420D	4	B. napus	down-regulated
GO:0055129	L-proline biosynthetic process	4/1302	19/51223	0.00118686386568062	0.0386828384714738	0.0352063074821128	BnaA05g05760D/BnaC04g05620D/BnaC08g26550D/BnaC09g42740D	4	B. napus	down-regulated
GO:0070588	calcium ion transmembrane transport	8/1302	83/51223	0.00124852738766759	0.0386828384714738	0.0352063074821128	BnaA01g07100D/BnaA01g25310D/BnaA03g32760D/BnaA03g49860D/BnaA05g06490D/BnaA10g27650D/BnaC07g42210D/BnaC07g46660D	8	B. napus	down-regulated
GO:0006397	mRNA processing	12/1302	168/51223	0.00129905773788633	0.0386828384714738	0.0352063074821128	BnaA02g17350D/BnaA05g31070D/BnaA06g34090D/BnaA08g12360D/BnaA10g22290D/BnaC02g00650D/BnaC04g54780D/BnaC05g45580D/BnaC07g05700D/BnaC07g05960D/BnaC09g14390D/BnaC09g47700D	12	B. napus	down-regulated
GO:0071472	cellular response to salt stress	5/1302	33/51223	0.00138256204045685	0.0386828384714738	0.0352063074821128	BnaA05g31070D/BnaA10g16060D/BnaAnng22770D/BnaC05g06430D/BnaC05g45580D	5	B. napus	down-regulated
GO:0048268	clathrin coat assembly	7/1302	66/51223	0.00142417133736747	0.0386828384714738	0.0352063074821128	BnaA02g25770D/BnaA06g09690D/BnaA06g34790D/BnaC01g17840D/BnaC05g11150D/BnaC07g20930D/BnaC08g08040D	7	B. napus	down-regulated
GO:0015977	carbon fixation	6/1302	49/51223	0.00146631698177067	0.0386828384714738	0.0352063074821128	BnaA03g15800D/BnaA04g24600D/BnaA07g14420D/BnaC03g18940D/BnaC03g69540D/BnaC04g30870D	6	B. napus	down-regulated
GO:0006099	tricarboxylic acid cycle	33/1852	167/53708	4.12118863092019e-16	2.74883281682377e-13	2.41197987241224e-13	Bo2g003960/Bo2g008990/Bo2g041280/Bo2g140660/Bo3g037260/Bo3g166960/Bo3g183840/Bo4g001130/Bo4g001140/Bo4g017330/Bo5g004570/Bo7g014940/Bo7g064530/Bo8g092900/Bo9g008240/Bo9g059040/Bo9g119120/Bo9g183040/BraA02g037690.3C/BraA03g000830.3C/BraA03g003440.3C/BraA03g023350.3C/BraA04g016750.3C/BraA05g003150.3C/BraA05g017230.3C/BraA07g003950.3C/BraA07g023590.3C/BraA08g015360.3C/BraA09g013400.3C/BraA09g020910.3C/BraA09g048990.3C/BraA10g002950.3C/BraA10g013100.3C	33	B. napus (syn)	down-regulated
GO:2000022	regulation of jasmonic acid mediated signaling pathway	18/1852	89/53708	1.29534082056911e-09	4.31996163659798e-07	3.79057629598119e-07	Bo2g068460/Bo2g076750/Bo3g147640/Bo5g027170/Bo5g062450/Bo5g121480/Bo8g067140/Bo8g068340/Bo8g102890/Bo8g104890/BraA01g016870.3C/BraA02g020000.3C/BraA03g005650.3C/BraA07g035430.3C/BraA07g036860.3C/BraA08g028330.3C/BraA09g056830.3C/BraA09g057760.3C	18	B. napus (syn)	down-regulated
GO:1900067	regulation of cellular response to alkaline pH	9/1852	18/53708	2.48076322382372e-09	5.51556356763474e-07	4.83966439454733e-07	Bo2g076750/Bo5g027170/Bo8g068340/Bo8g102890/Bo8g104890/BraA07g036860.3C/BraA08g028330.3C/BraA09g056830.3C/BraA09g057760.3C	9	B. napus (syn)	down-regulated
GO:0009753	response to jasmonic acid	19/1852	106/53708	3.83889030535294e-09	6.40134958417603e-07	5.61690265730588e-07	Bo1g006240/Bo1g036850/Bo2g068460/Bo2g076750/Bo3g147640/Bo5g027170/Bo5g062450/Bo8g067140/Bo8g068340/Bo8g102890/Bo8g104890/BraA02g020000.3C/BraA03g005650.3C/BraA06g042040.3C/BraA07g035430.3C/BraA07g036860.3C/BraA08g028330.3C/BraA09g056830.3C/BraA09g057760.3C	19	B. napus (syn)	down-regulated
GO:0046686	response to cadmium ion	25/1852	191/53708	1.26776641822392e-08	1.69120040191071e-06	1.48395395480527e-06	Bo3g022630/Bo3g065440/Bo3g066520/Bo3g101500/Bo4g125910/Bo4g190870/Bo5g039650/Bo7g106830/Bo8g051550/Bo8g077450/Bo9g157440/BraA01g000580.3C/BraA01g013250.3C/BraA02g022690.3C/BraA03g005720.3C/BraA03g036740.3C/BraA04g029230.3C/BraA06g001830.3C/BraA06g015140.3C/BraA06g018050.3C/BraA07g038900.3C/BraA08g022530.3C/BraA09g013400.3C/BraA09g039640.3C/BraA09g043930.3C	25	B. napus (syn)	down-regulated
GO:0031347	regulation of defense response	17/1852	95/53708	2.5705615851193e-08	2.85760762879095e-06	2.50742498478303e-06	Bo2g068460/Bo2g076750/Bo3g147640/Bo5g027170/Bo5g062450/Bo5g121480/Bo8g067140/Bo8g068340/Bo8g102890/Bo8g104890/BraA02g020000.3C/BraA03g005650.3C/BraA07g035430.3C/BraA07g036860.3C/BraA08g028330.3C/BraA09g056830.3C/BraA09g057760.3C	17	B. napus (syn)	down-regulated
