A_thaliana_ortholog	Genefamily	Description	Gene_name	Species
AT5G44430.1	JA/ET signaling	PDF1.2c	Bo6g086130	B. oleracea
AT1G06160.1	JA/ET signaling	ORA59	BraA10g004800.3C	B. rapa
AT1G06160.1	JA/ET signaling	ORA59	Bo5g007280	B. oleracea
AT3G23240.1	JA/ET signaling	ERF1	BraA01g030800.3C	B. rapa
AT3G23240.1	ET signaling	ERF1	BraA01g030800.3C	B. rapa
AT3G23240.1	ET signaling 	ERF1	Bo1g102210	B. oleracea
AT3G23240.1	JA/ET signalling 	ERF1	Bo1g102210	B. oleracea
AT3G17390.1	ET biosynthesis	MTO3	BraA09g002300.3C	B. rapa
AT3G17390.1	ET biosynthesis	MTO3	BraA01g035280.3C	B. rapa
AT3G17390.1	ET biosynthesis	MTO3	BraA03g029510.3C	B. rapa
AT3G17390.1	ET biosynthesis	MTO3	BraA03g037900.3C	B. rapa
AT3G17390.1	ET biosynthesis	MTO3	BraA05g000750.3C	B. rapa
AT3G17390.1	ET biosynthesis	MTO3	Bo00763s020	B. oleracea
AT3G17390.1	ET biosynthesis	MTO3	Bo3g053060	B. oleracea
AT3G17390.1	ET biosynthesis	MTO3	Bo3g068860	B. oleracea
AT1G01480.1	ET biosynthesis	ACS2	BraA10g000500.3C	B. rapa
AT1G01480.1	ET biosynthesis	ACS2	Bo5g002460	B. oleracea
AT2G22810.1	ET biosynthesis	ACS4	BraA04g016820.3C	B. rapa
AT2G22810.1	ET biosynthesis	ACS4	Bo4g151090	B. oleracea
AT3G49700.1	ET biosynthesis	ACS9	BraA06g017450.3C	B. rapa
AT3G49700.1	ET biosynthesis	ACS9	BraA03g044810.3C	B. rapa
AT3G49700.1	ET biosynthesis	ACS9	Bo8g078960	B. oleracea
AT3G49700.1	ET biosynthesis	ACS9	Bo7g099060	B. oleracea
AT3G61510.1	ET biosynthesis	ACS1	BraA09g051070.3C	B. rapa
AT3G61510.1	ET biosynthesis	ACS1	Bo8g096040	B. oleracea
AT4G08040.1	ET biosynthesis	ACS11	BraA03g026440.3C	B. rapa
AT4G08040.1	ET biosynthesis	ACS11	Bo3g043020	B. oleracea
AT4G11280.1	ET biosynthesis	ACS6	BraA09g027250.3C	B. rapa
AT4G11280.1	ET biosynthesis	ACS6	Bo9g091320	B. oleracea
AT4G26200.1	ET biosynthesis	ACS7	BraA01g016960.3C	B. rapa
AT4G26200.1	ET biosynthesis	ACS7	BraA03g052980.3C	B. rapa
AT4G26200.1	ET biosynthesis	ACS7	Bo7g110760	B. oleracea
AT4G26200.1	ET biosynthesis	ACS7	Bo1g043020	B. oleracea
AT4G37770.1	ET biosynthesis	ACS8	BraA01g001220.3C	B. rapa
AT4G37770.1	ET biosynthesis	ACS8	BraA08g021660.3C	B. rapa
AT4G37770.1	ET biosynthesis	ACS8	Bo3g153260	B. oleracea
AT4G37770.1	ET biosynthesis	ACS8	Bo1g003430	B. oleracea
AT5G65800.1	ET biosynthesis	ACS5	BraA09g008800.3C	B. rapa
AT5G65800.1	ET biosynthesis	ACS5	BraA06g029290.3C	B. rapa
AT5G65800.1	ET biosynthesis	ACS5	BraA02g045340.3C	B. rapa
AT5G65800.1	ET biosynthesis	ACS5	Bo3g097680	B. oleracea
AT5G65800.1	ET biosynthesis	ACS5	Bo9g018940	B. oleracea
AT5G65800.1	ET biosynthesis	ACS5	Bo2g168180	B. oleracea
AT1G05010.1	ET biosynthesis	EFE(ACO4)	BraA10g003600.3C	B. rapa
AT1G05010.1	ET biosynthesis	EFE(ACO4)	Bo5g005140	B. oleracea
AT1G12010.1	ET biosynthesis	1-aminocyclopropane-1-carboxylate oxidase	BraA06g009580.3C	B. rapa
AT1G12010.1	ET biosynthesis	1-aminocyclopropane-1-carboxylate oxidase	BraA09g061030.3C	B. rapa
AT1G12010.1	ET biosynthesis	1-aminocyclopropane-1-carboxylate oxidase	Bo8g108490	B. oleracea
AT1G12010.1	ET biosynthesis	1-aminocyclopropane-1-carboxylate oxidase	Bo5g017350	B. oleracea
AT1G62380.1	ET biosynthesis	ACO2	BraA09g015910.3C	B. rapa
AT1G62380.1	ET biosynthesis	ACO2	BraA03g063610.3C	B. rapa
AT1G62380.1	ET biosynthesis	ACO2	Bo4g092860	B. oleracea
AT1G62380.1	ET biosynthesis	ACO2	Bo9g037370	B. oleracea
AT1G77330.1	ET biosynthesis	ACO5	BraA07g040780.3C	B. rapa
AT1G77330.1	ET biosynthesis	ACO5	BraA07g027040.3C	B. rapa
AT1G77330.1	ET biosynthesis	ACO5	BraA02g024030.3C	B. rapa
AT1G77330.1	ET biosynthesis	ACO5	BraA07g040770.3C	B. rapa
AT1G77330.1	ET biosynthesis	ACO5	Bo2g092490	B. oleracea
AT1G77330.1	ET biosynthesis	ACO5	Bo6g083360	B. oleracea
AT2G19590.1	ET biosynthesis	ACO1	BraA07g001200.3C	B. rapa
AT2G19590.1	ET biosynthesis	ACO1	BraA09g056530.3C	B. rapa
AT2G19590.1	ET biosynthesis	ACO1	BraA07g001190.3C	B. rapa
AT2G19590.1	ET biosynthesis	ACO1	Bo8g102640	B. oleracea
AT2G19590.1	ET biosynthesis	ACO1	Bo01589s010	B. oleracea
AT2G19590.1	ET biosynthesis	ACO1	Bo1g008270	B. oleracea
AT1G04310.1	ET signaling	ERS2	BraA08g034940.3C	B. rapa
AT1G04310.1	ET signaling	ERS2	Bo8g002860	B. oleracea
AT1G66340.1	ET signaling	ETR1	BraA07g032080.3C	B. rapa
AT1G66340.1	ET signaling	ETR1	Bo6g099890	B. oleracea
AT1G66340.1	ET signaling	ETR1	Bo6g099910	B. oleracea
AT1G66340.1	ET signaling	ETR1	Bo6g099850	B. oleracea
AT2G40940.1	ET signaling	ERS1	BraA05g000390.3C	B. rapa
AT2G40940.1	ET signaling	ERS1	Bo4g001150	B. oleracea
AT3G23150.1	ET signaling	ETR2	BraA01g030980.3C	B. rapa
AT3G23150.1	ET signaling	ETR2	Bo1g102320	B. oleracea
AT5G03280.1	ET signaling	EIN2	BraA10g032720.3C	B. rapa
AT5G03280.1	ET signaling	EIN2	Bo9g183060	B. oleracea
AT1G73730.1	ET signaling	EIL3	BraA07g037760.3C	B. rapa
AT1G73730.1	ET signaling	EIL3	BraA02g021900.3C	B. rapa
AT1G73730.1	ET signaling	EIL3	Bo6g087550	B. oleracea
AT1G73730.1	ET signaling	EIL3	Bo6g118030	B. oleracea
AT2G27050.1	ET signaling	EIL1	BraA03g025290.3C	B. rapa
AT2G27050.1	ET signaling	EIL1	Bo3g041690	B. oleracea
AT3G20770.1	ET signaling	EIN3	BraA05g026400.3C	B. rapa
AT3G20770.1	ET signaling	EIN3	Bo5g106280	B. oleracea
AT5G10120.1	ET signaling	putative ethylene insensitive 3-like 4 protein	Bo2g009710	B. oleracea
AT2G25490.1	ET signaling	EBF1	BraA04g018750.3C	B. rapa
AT2G25490.1	ET signaling	EBF1	Bo4g158580	B. oleracea
AT5G25350.1	ET signaling	EBF2	BraA06g032660.3C	B. rapa
AT5G25350.1	ET signaling	EBF2	BraA09g005890.3C	B. rapa
AT5G25350.1	ET signaling	EBF2	Bo9g011390	B. oleracea
AT5G25350.1	ET signaling	EBF2	Bo7g096040	B. oleracea
AT1G18870.1	SA biosynthesis	ICS2	BraA06g014590.3C	B. rapa
AT1G18870.1	SA biosynthesis	ICS2	BraA09g019140.3C	B. rapa
AT1G18870.1	SA biosynthesis	ICS2	BraA08g028480.3C	B. rapa
AT1G18870.1	SA biosynthesis	ICS2	Bo2g098840	B. oleracea
AT1G18870.1	SA biosynthesis	ICS2	Bo8g068170	B. oleracea
AT1G18870.1	SA biosynthesis	ICS2	Bo5g025950	B. oleracea
AT1G18870.1	SA biosynthesis	ICS2	Bo1g010130	B. oleracea
AT2G41370.1	SA signaling	BOP2	BraA04g029210.3C	B. rapa
AT2G41370.1	SA signaling	BOP2	BraA05g002190.3C	B. rapa
AT2G41370.1	SA signaling	BOP2	BraA04g029220.3C	B. rapa
AT2G41370.1	SA signaling	BOP2	Bo4g190850	B. oleracea
AT2G41370.1	SA signaling	BOP2	Bo4g013200	B. oleracea
AT3G57130.1	SA signaling	BOP1	BraA07g022730.3C	B. rapa
AT3G57130.1	SA signaling	BOP1	BraA09g047810.3C	B. rapa
AT3G57130.1	SA signaling	BOP1	BraA04g003480.3C	B. rapa
AT3G57130.1	SA signaling	BOP1	Bo4g111490	B. oleracea
AT3G57130.1	SA signaling	BOP1	Bo6g072700	B. oleracea
AT3G57130.1	SA signaling	BOP1	Bo6g072710	B. oleracea
AT3G57130.1	SA signaling	BOP1	Bo8g091510	B. oleracea
AT4G19660.1	SA signaling	NPR4	BraA01g010960.3C	B. rapa
AT4G19660.1	SA signaling	NPR4	Bo1g021820	B. oleracea
AT4G26120.1	SA signaling	NPR2	Bo3g049890	B. oleracea
AT5G45110.1	SA signaling	NPR3	BraA02g031580.3C	B. rapa
AT5G45110.1	SA signaling	NPR3	BraA06g042710.3C	B. rapa
AT5G45110.1	SA signaling	NPR3	Bo7g070020	B. oleracea
AT1G22070.1	SA signaling	TGA3	BraA09g040870.3C	B. rapa
AT1G22070.1	SA signaling	TGA3	BraA08g026970.3C	B. rapa
AT1G22070.1	SA signaling	TGA3	Bo8g071300	B. oleracea
AT1G22070.1	SA signaling	TGA3	Bo5g035170	B. oleracea
AT1G68640.1	SA signaling	PAN	BraA07g033750.3C	B. rapa
AT1G68640.1	SA signaling	PAN	Bo6g107140	B. oleracea
AT1G77920.1	SA signaling	TGA7	BraA07g026840.3C	B. rapa
AT1G77920.1	SA signaling	TGA7	BraA07g041080.3C	B. rapa
AT1G77920.1	SA signaling	TGA7	Bo6g121590	B. oleracea
AT3G12250.4	SA signaling	TGA6	BraA05g034650.3C	B. rapa
AT3G12250.4	SA signaling	TGA6	BraA01g039080.3C	B. rapa
AT3G12250.4	SA signaling	TGA6	BraA03g035190.3C	B. rapa
AT3G12250.4	SA signaling	TGA6	BraA10g029590.3C	B. rapa
AT3G12250.4	SA signaling	TGA6	Bo5g133550	B. oleracea
AT3G12250.4	SA signaling	TGA6	Bo2g007460	B. oleracea
AT3G12250.4	SA signaling	TGA6	Bo9g175710	B. oleracea
AT3G12250.4	SA signaling	TGA6	Bo1g139470	B. oleracea
AT3G12250.4	SA signaling	TGA6	Bo3g064830	B. oleracea
AT5G06839.3	SA signaling	TGA10	Bo9g175780	B. oleracea
AT5G06839.3	SA signaling	TGA10	Bo3g004060	B. oleracea
AT1G50060.1	SA signaling	CAP	BraA06g003490.3C	B. rapa
AT1G50060.1	SA signaling	CAP	BraA06g003480.3C	B. rapa
AT1G50060.1	SA signaling	CAP	Bo6g020880	B. oleracea
AT2G14610.1	SA signaling	PR1	BraA03g042590.3C	B. rapa
AT2G14610.1	SA signaling	PR1	BraA03g042600.3C	B. rapa
AT2G14610.1	SA signaling	PR1	Bo3g088360	B. oleracea
AT2G14610.1	SA signaling	PR1	Bo8g016210	B. oleracea
AT2G14610.1	SA signaling	PR1	Bo3g088350	B. oleracea
AT5G67030.1	ABA biosynthesis	ZEP(ABA1)	BraA09g009220.3C	B. rapa
AT5G67030.1	ABA biosynthesis	ZEP(ABA1)	BraA07g016880.3C	B. rapa
AT5G67030.1	ABA biosynthesis	ZEP(ABA1)	Bo9g020440	B. oleracea
AT5G67030.1	ABA biosynthesis	ZEP(ABA1)	Bo7g064130	B. oleracea
AT1G52340.1	ABA biosynthesis	SDR1(ABA2)	Bo6g028000	B. oleracea
AT3G63520.1	ABA biosynthesis	NCED1/CCD1	BraA04g000040.3C	B. rapa
AT4G18350.1	ABA biosynthesis	NCED2	BraA01g009810.3C	B. rapa
AT4G18350.1	ABA biosynthesis	NCED2	BraA03g048210.3C	B. rapa
AT4G18350.1	ABA biosynthesis	NCED2	Bo7g105930	B. oleracea
AT4G18350.1	ABA biosynthesis	NCED2	Bo1g019460	B. oleracea
AT3G14440.1	ABA biosynthesis	NCED3	BraA03g036470.3C	B. rapa
AT3G14440.1	ABA biosynthesis	NCED3	BraA05g032610.3C	B. rapa
AT3G14440.1	ABA biosynthesis	NCED3	BraA01g037270.3C	B. rapa
AT3G14440.1	ABA biosynthesis	NCED3	Bo3g066190	B. oleracea
AT3G14440.1	ABA biosynthesis	NCED3	Bo5g130280	B. oleracea
AT4G19170.1	ABA biosynthesis	NCED4	BraA01g010560.3C	B. rapa
AT4G19170.1	ABA biosynthesis	NCED4	Bo3g158650	B. oleracea
AT4G19170.1	ABA biosynthesis	NCED4	Bo1g020270	B. oleracea
AT1G78390.1	ABA biosynthesis	NCED5	BraA02g024670.3C	B. rapa
AT1G78390.1	ABA biosynthesis	NCED5	BraA07g041520.3C	B. rapa
AT1G78390.1	ABA biosynthesis	NCED5	Bo6g122000	B. oleracea
AT1G78390.1	ABA biosynthesis	NCED5	Bo2g093400	B. oleracea
AT3G24220.1	ABA biosynthesis	NCED6	BraA07g009070.3C	B. rapa
AT3G24220.1	ABA biosynthesis	NCED6	Bo7g038710	B. oleracea
AT1G30100.1	ABA biosynthesis	NCED9	BraA09g034930.3C	B. rapa
AT1G30100.1	ABA biosynthesis	NCED9	Bo5g062360	B. oleracea
AT3G43600.1	ABA biosynthesis	AAO2	BraA06g022060.3C	B. rapa
AT3G43600.1	ABA biosynthesis	AAO2	BraA06g023170.3C	B. rapa
AT3G43600.1	ABA biosynthesis	AAO2	BraA06g022070.3C	B. rapa
AT3G43600.1	ABA biosynthesis	AAO2	Bo3g127470	B. oleracea
AT1G04580.1	ABA biosynthesis	AAO4	BraA10g003130.3C	B. rapa
AT1G04580.1	ABA biosynthesis	AAO4	Bo5g004710	B. oleracea
AT1G16540.1	ABA biosynthesis	ABA3(MCSU)	BraA06g012520.3C	B. rapa
AT1G16540.1	ABA biosynthesis	ABA3(MCSU)	Bo5g021990	B. oleracea
AT1G01360.1	ABA signaling	RCAR1	BraA10g000590.3C	B. rapa
AT1G01360.1	ABA signaling	RCAR1	Bo5g002530	B. oleracea
AT1G01360.1	ABA signaling	RCAR1	Bo5g034970	B. oleracea
AT1G73000.1	ABA signaling	PYL3	BraA02g021410.3C	B. rapa
AT1G73000.1	ABA signaling	PYL3	Bo2g079190	B. oleracea
AT2G26040.1	ABA signaling	PYL2	BraA09g052870.3C	B. rapa
AT2G26040.1	ABA signaling	PYL2	Bo8g098910	B. oleracea
AT2G38310.1	ABA signaling	PYL4	BraA05g007290.3C	B. rapa
AT2G38310.1	ABA signaling	PYL4	BraA03g020010.3C	B. rapa
AT2G38310.1	ABA signaling	PYL4	BraA04g027160.3C	B. rapa
AT2G38310.1	ABA signaling	PYL4	Bo3g032350	B. oleracea
AT2G38310.1	ABA signaling	PYL4	Bo4g027570	B. oleracea
AT2G38310.1	ABA signaling	PYL4	Bo4g187540	B. oleracea
AT2G40330.1	ABA signaling	PYL6	BraA04g028450.3C	B. rapa
AT2G40330.1	ABA signaling	PYL6	BraA03g021430.3C	B. rapa
AT2G40330.1	ABA signaling	PYL6	BraA05g005770.3C	B. rapa
AT2G40330.1	ABA signaling	PYL6	Bo4g190030	B. oleracea
AT2G40330.1	ABA signaling	PYL6	Bo4g025290	B. oleracea
AT2G40330.1	ABA signaling	PYL6	Bo3g034900	B. oleracea
AT4G01026.1	ABA signaling	PYL7	BraA03g029760.3C	B. rapa
AT4G01026.1	ABA signaling	PYL7	Bo3g054410	B. oleracea
AT4G01026.1	ABA signaling	PYL7	Bo9g003780	B. oleracea
AT4G17870.1	ABA signaling	PYR1	BraA03g047820.3C	B. rapa
AT4G17870.1	ABA signaling	PYR1	BraA08g012630.3C	B. rapa
AT4G17870.1	ABA signaling	PYR1	BraA01g009450.3C	B. rapa
AT4G17870.1	ABA signaling	PYR1	Bo7g105520	B. oleracea
AT4G17870.1	ABA signaling	PYR1	Bo1g017970	B. oleracea
AT4G17870.1	ABA signaling	PYR1	Bo8g049770	B. oleracea
AT4G18620.1	ABA signaling	PYL13	BraA01g010160.3C	B. rapa
AT4G18620.1	ABA signaling	PYL13	Bo1g019740	B. oleracea
AT4G27920.1	ABA signaling	PYL10	BraA01g018740.3C	B. rapa
AT4G27920.1	ABA signaling	PYL10	Bo1g051020	B. oleracea
AT5G05440.1	ABA signaling	PYL5	BraA10g028350.3C	B. rapa
AT5G05440.1	ABA signaling	PYL5	BraA02g001740.3C	B. rapa
AT5G05440.1	ABA signaling	PYL5	BraA03g002100.3C	B. rapa
AT5G05440.1	ABA signaling	PYL5	Bo9g177120	B. oleracea
AT5G05440.1	ABA signaling	PYL5	Bo3g003330	B. oleracea
AT5G53160.2	ABA signaling	RCAR3	BraA10g011520.3C	B. rapa
AT5G53160.2	ABA signaling	RCAR3	BraA03g014680.3C	B. rapa
AT5G53160.2	ABA signaling	RCAR3	BraA02g014770.3C	B. rapa
AT5G53160.2	ABA signaling	RCAR3	Bo9g175350	B. oleracea
AT5G53160.2	ABA signaling	RCAR3	Bo2g046090	B. oleracea
AT5G53160.2	ABA signaling	RCAR3	Bo2g056040	B. oleracea
AT5G53160.2	ABA signaling	RCAR3	Bo9g109880	B. oleracea
AT5G53160.2	ABA signaling	RCAR3	Bo3g022900	B. oleracea
AT5G53160.2	ABA signaling	RCAR3	Bo4g166630	B. oleracea
AT1G07430.1	ABA signaling	HAI2	BraA10g006100.3C	B. rapa
AT1G07430.1	ABA signaling	HAI2	BraA09g063330.3C	B. rapa
AT1G07430.1	ABA signaling	HAI2	BraA05g018520.3C	B. rapa
AT1G07430.1	ABA signaling	HAI2	Bo8g114080	B. oleracea
AT1G07430.1	ABA signaling	HAI2	Bo5g008210	B. oleracea
AT1G17550.1	ABA signaling	HAB2	BraA06g013310.3C	B. rapa
AT1G17550.1	ABA signaling	HAB2	BraA08g029190.3C	B. rapa
AT1G17550.1	ABA signaling	HAB2	Bo5g023890	B. oleracea
AT2G29380.1	ABA signaling	HAI3	BraA05g014810.3C	B. rapa
AT4G26080.1	ABA signaling	ABI1	BraA03g052950.3C	B. rapa
AT4G26080.1	ABA signaling	ABI1	BraA08g019900.3C	B. rapa
AT4G26080.1	ABA signaling	ABI1	BraA01g016800.3C	B. rapa
AT4G26080.1	ABA signaling	ABI1	Bo8g051120	B. oleracea
AT4G26080.1	ABA signaling	ABI1	Bo1g041870	B. oleracea
AT5G51760.1	ABA signaling	AHG1	BraA03g015330.3C	B. rapa
AT5G59220.1	ABA signaling	HAI1	BraA10g016990.3C	B. rapa
AT5G59220.1	ABA signaling	HAI1	Bo9g136980	B. oleracea
AT1G10940.2	ABA signaling	SNRK2.4	BraA06g007760.3C	B. rapa
AT1G10940.2	ABA signaling	SNRK2.4	BraA01g028580.3C	B. rapa
AT1G10940.2	ABA signaling	SNRK2.4	BraA09g061620.3C	B. rapa
AT1G10940.2	ABA signaling	SNRK2.4	Bo5g013380	B. oleracea
AT1G10940.2	ABA signaling	SNRK2.4	Bo8g109190	B. oleracea
AT2G23030.1	ABA signaling	SNRK2.9	BraA04g016970.3C	B. rapa
AT2G23030.1	ABA signaling	SNRK2.9	Bo4g151250	B. oleracea
AT4G33950.1	ABA signaling	OST1	BraA03g058470.3C	B. rapa
AT4G33950.1	ABA signaling	OST1	BraA01g004270.3C	B. rapa
AT4G33950.1	ABA signaling	OST1	Bo1g007740	B. oleracea
AT4G33950.1	ABA signaling	OST1	Bo7g116520	B. oleracea
AT4G40010.1	ABA signaling	SNRK2.7	BraA01g000880.3C	B. rapa
AT4G40010.1	ABA signaling	SNRK2.7	Bo1g003060	B. oleracea
AT5G08590.1	ABA signaling	SNRK2.1	BraA03g003750.3C	B. rapa
AT5G08590.1	ABA signaling	SNRK2.1	BraA10g030910.3C	B. rapa
AT5G08590.1	ABA signaling	SNRK2.1	Bo9g174320	B. oleracea
AT5G08590.1	ABA signaling	SNRK2.1	Bo3g005060	B. oleracea
AT5G63650.1	ABA signaling	SNRK2.5	BraA06g027110.3C	B. rapa
AT5G63650.1	ABA signaling	SNRK2.5	Bo3g103200	B. oleracea
AT2G36270.1	ABA signaling	ABI5	BraA05g009140.3C	B. rapa
AT2G36270.1	ABA signaling	ABI5	Bo4g034870	B. oleracea
AT3G44460.1	ABA signaling	DPBF2	BraA06g021480.3C	B. rapa
AT3G44460.1	ABA signaling	DPBF2	Bo3g122120	B. oleracea
AT3G56850.1	ABA signaling	AREB3	BraA09g047460.3C	B. rapa
AT3G56850.1	ABA signaling	AREB3	BraA09g047430.3C	B. rapa
AT3G56850.1	ABA signaling	AREB3	Bo8g091160	B. oleracea
AT3G56850.1	ABA signaling	AREB3	Bo6g072380	B. oleracea
AT4G02780.1	GA Biosynthesis	CPS1(GA1)	BraA03g028920.3C	B. rapa
AT4G02780.1	GA Biosynthesis	CPS1(GA1)	BraA09g001440.3C	B. rapa
AT4G02780.1	GA Biosynthesis	CPS1(GA1)	Bo9g006080	B. oleracea
AT1G79460.1	GA Biosynthesis	KS1(GA2)	BraA07g042410.3C	B. rapa
AT1G79460.1	GA Biosynthesis	KS1(GA2)	Bo6g123900	B. oleracea
AT5G25900.1	GA Biosynthesis	KO1(GA3)	BraA06g033010.3C	B. rapa
AT5G25900.1	GA Biosynthesis	KO1(GA3)	Bo7g095640	B. oleracea
AT1G05160.1	GA Biosynthesis	KAO1	BraA10g003760.3C	B. rapa
AT1G05160.1	GA Biosynthesis	KAO1	BraA05g012440.3C	B. rapa
AT1G05160.1	GA Biosynthesis	KAO1	Bo5g005280	B. oleracea
AT4G25420.1	GA Biosynthesis	GA20OX1	BraA03g052520.3C	B. rapa
AT4G25420.1	GA Biosynthesis	GA20OX1	BraA01g016120.3C	B. rapa
